Benchmark,Strategy,Sampling time,Approx coverage
FM-361.cnf,3,7.921861338615417,1223216.4
FM-361.cnf,5,0.2409719705581665,1223340.7
XSEngine.cnf,3,126.04156975746155,1301781127646.0
XSEngine.cnf,5,2.392995524406433,1301443597257.1
aaed2000.cnf,3,138.21838254928588,1378755598565.7
aaed2000.cnf,5,3.269472861289978,1384556998376.9
adder.cnf,3,125.9097348690033,1361490940878.8
adder.cnf,5,2.972996950149536,1357817710019.5
adderII.cnf,3,123.76155655384063,1382597260921.4
adderII.cnf,5,2.9613441228866577,1378145437953.3
aeb.cnf,3,126.9009526014328,1091191056190.4
aeb.cnf,5,2.6398754835128786,1087885832327.1
aim711.cnf,3,130.783199262619,1314126887602.9
aim711.cnf,5,2.761880087852478,1311271077538.0
aki3068net.cnf,3,126.7436657190323,1090606219265.3
aki3068net.cnf,5,2.3571478605270384,1089401747719.3
am31_sim.cnf,3,118.76719074249267,932066967140.4
am31_sim.cnf,5,2.0945726871490478,930069984937.6
asb.cnf,3,126.75487723350525,1161406065172.2
asb.cnf,5,2.643969440460205,1156022833387.8
asb2305.cnf,3,131.65462610721588,1189198188923.0
asb2305.cnf,5,2.4096640586853026,1186688998692.2
assabet.cnf,3,135.59541387557982,1275566515397.7
assabet.cnf,5,2.9806573390960693,1273046766467.5
at91sam7sek.cnf,3,144.85654153823853,1395153121889.3
at91sam7sek.cnf,5,3.0517596006393433,1392600546891.6
at91sam7xek.cnf,3,141.2937933444977,1524391588515.0
at91sam7xek.cnf,5,2.569172406196594,1526536676283.6
atlas_mips32_4kc.cnf,3,124.90849635601043,1122852817722.6
atlas_mips32_4kc.cnf,5,2.3098365306854247,1119984050032.4
atlas_mips64_5kc.cnf,3,125.89304358959198,1092804098464.7
atlas_mips64_5kc.cnf,5,9.422500157356263,1093330063903.4
axtls.cnf,3,8.916399836540222,37457502.5
axtls.cnf,5,4.440144753456115,37460545.1
brutus.cnf,3,131.35750782489777,1114507673120.9
brutus.cnf,5,2.775524377822876,1115827693975.8
buildroot.cnf,3,18.63823344707489,62718749452.0
buildroot.cnf,5,1.4584070920944214,62728824673.1
busybox_1_28_0.cnf,3,22.52369635105133,638738479991.6
busybox_1_28_0.cnf,5,2.33946430683136,638969902781.5
calm16_ceb.cnf,3,116.47376170158387,959670842240.6
calm16_ceb.cnf,5,2.5513416051864626,954514277118.1
calm32_ceb.cnf,3,118.5374120235443,956324177708.0
calm32_ceb.cnf,5,2.504060244560242,956537621258.7
ceb_v850.cnf,3,116.35626547336578,1020063605265.0
ceb_v850.cnf,5,2.5200875282287596,1017405230110.8
cerf.cnf,3,129.78374626636506,1344523436633.2
cerf.cnf,5,2.608581209182739,1341856561934.0
cerfpda.cnf,3,135.10519530773163,1407755611115.2
cerfpda.cnf,5,1.6622548341751098,1405384232482.1
cma230.cnf,3,130.2501433134079,1083200470638.8
cma230.cnf,5,8.932607913017273,1082832595957.3
cma28x.cnf,3,124.47045893669129,1068269934746.4
cma28x.cnf,5,2.100189709663391,1065893651620.8
cme555.cnf,3,135.83678340911865,1304174381699.7
cme555.cnf,5,1.8689928293228149,1300126242888.6
