Benchmark,Strategy,Sampling time,Approx n combinations,Approx coverage
FM-361.cnf,3,43.495661520957945,150502530.4,0.9980384027579721
FM-361.cnf,5,0.2409719705581665,150634855.5,0.998915899841229
XSEngine.cnf,3,893.5623297452927,2.0637963008237984e+17,0.8938832487893426
XSEngine.cnf,5,2.392995524406433,2.0361116060226323e+17,0.8818922955539241
aaed2000.cnf,3,966.0762997627259,2.2374965551910688e+17,0.8884252157470031
aaed2000.cnf,5,3.269472861289978,2.232971682049503e+17,0.8866285598425742
adder.cnf,3,901.8337077379226,2.2048879382014726e+17,0.9050647646759798
adder.cnf,5,2.972996950149536,2.1832237879853418e+17,0.8961720410696902
adderII.cnf,3,947.5103426933289,2.2531707601102544e+17,0.9024656798328098
adderII.cnf,5,2.9613441228866577,2.2319425233562304e+17,0.8939631040613514
aeb.cnf,3,927.2313719272613,1.5743506319935488e+17,0.8988697509862105
aeb.cnf,5,2.6398754835128786,1.5590621178882646e+17,0.8901408296217463
aim711.cnf,3,928.2443671226501,2.081852747622678e+17,0.8962407432568913
aim711.cnf,5,2.761880087852478,2.062376029588517e+17,0.8878559868099838
aki3068net.cnf,3,886.3371769189835,1.5719443597618394e+17,0.8942623265395008
aki3068net.cnf,5,2.3571478605270384,1.5607181430147808e+17,0.8878758519520782
am31_sim.cnf,3,833.6852017879486,1.250268120927745e+17,0.9104472775584317
am31_sim.cnf,5,2.0945726871490478,1.2341351572433242e+17,0.89869922718462
asb.cnf,3,890.2707504272461,1.7251334069201718e+17,0.8937521039039016
asb.cnf,5,2.643969440460205,1.704339085271572e+17,0.8829790421521906
asb2305.cnf,3,903.8621474266052,1.7916943324041763e+17,0.8993821212238289
asb2305.cnf,5,2.4096640586853026,1.770269674964094e+17,0.8886275223469663
assabet.cnf,3,929.6450907230377,1.9919071779137117e+17,0.8994821579758432
assabet.cnf,5,2.9806573390960693,1.979796326754848e+17,0.8940132813855652
at91sam7sek.cnf,3,976.4086853742599,2.2943386720259917e+17,0.9016734937951014
at91sam7sek.cnf,5,3.0517596006393433,2.2737388515558147e+17,0.8935777787546996
at91sam7xek.cnf,3,971.5163235902786,2.6269828525340893e+17,0.8963186472194207
