Benchmark,Uniform Combinations,Uniform Coverage,Baital_waps_strategy_5 Combinations,Baital_waps_strategy_5 Coverage,Baital_cmsgen_strategy_5 Combinations,Baital_cmsgen_strategy_5 Coverage
FM-361.cnf,3143,0.9974611234528721,3151,1.0,3151,1.0
XSEngine.cnf,2311450,0.7770036892926475,2900946,0.975165261822124,2963604,0.9962280134125536
aaed2000.cnf,2370538,0.7703064538980359,3000447,0.974995418204222,3064631,0.9958520125456717
adder.cnf,2427508,0.7985097603722047,2957390,0.9728102977321411,3028022,0.9960441414082936
adderII.cnf,2437907,0.7968042290412556,2977630,0.9732070076996842,3049695,0.9967606940240018
aeb.cnf,2115558,0.7770456253402122,2664232,0.9785738894851401,2711915,0.9960878817997433
aim711.cnf,2319170,0.7763374688098571,2923054,0.9784864169312849,2976228,0.9962863059288554
aki3068net.cnf,2151495,0.7894308122735403,2650849,0.9726547722790442,2716154,0.99661661239279
am31_sim.cnf,1986763,0.7887717434371683,2462297,0.9775651638117425,2509766,0.9964109979093269
asb.cnf,2178064,0.7744552482557491,2759526,0.9812059670414617,2799506,0.9954216745804801
asb2305.cnf,2185172,0.7684410455180204,2787867,0.9803857235243665,2833976,0.9966004874732869
assabet.cnf,2319055,0.7890413969818436,2867824,0.9757560106414288,2929370,0.9966965842020579
at91sam7sek.cnf,2409351,0.7843271362394894,3004767,0.9781556511180486,3061484,0.9966189975487244
at91sam7xek.cnf,2508719,0.7796679964048586,3156879,0.9811053070601267,3205871,0.996331203017333
atlas_mips32_4kc.cnf,2171843,0.7855323560006423,2687805,0.9721502862409053,2754692,0.996342597883973
atlas_mips64_5kc.cnf,2151302,0.7874406391173118,2662991,0.9747340610493781,2722209,0.9964096136994705
axtls.cnf,14927,0.9207377251418702,16170,0.9974093264248705,16212,1.0
brutus.cnf,2148979,0.7805071784480576,2693150,0.9781495806321916,2744465,0.9967871410094973
buildroot.cnf,613804,0.9879826806380478,613804,0.9879826806380478,621218,0.9999163004812722
busybox_1_28_0.cnf,1940830,0.9876881848202286,1954574,0.9946825049884912,1964931,0.9999531812095838
calm16_ceb.cnf,1999114,0.7831005645131911,2502455,0.9802712217356577,2543448,0.9963291561211352
calm32_ceb.cnf,2028150,0.7944746572318679,2499609,0.9791563757555862,2543485,0.9963436499023237
ceb_v850.cnf,2062682,0.7835987963464914,2567627,0.975423951276422,2624056,0.9968609427656754
cerf.cnf,2316117,0.7659780708513767,2938963,0.9719635100660177,3011766,0.9960406622531449
cerfpda.cnf,2409069,0.7778806024607963,3010620,0.9721194782633966,3082775,0.995418094812179
cma230.cnf,2119603,0.7798294649735802,2658339,0.9780374344103128,2706215,0.9956516364401623
cma28x.cnf,2078204,0.7712957684588069,2628445,0.975509866272372,2684863,0.9964486021543687
cme555.cnf,2293627,0.7678522885987196,2895406,0.9693137216829346,2971857,0.9949077155257262
cq7708.cnf,2230557,0.7871232676584766,2761721,0.9745614471546953,2824194,0.9966070402063089
