Benchmark,Strategy,Preprocessing,Sampling time,Coverage time, N combinations, Coverage, Approx Coverage time, Approx n combinations, Approx coverage
FM-361.cnf,1,exact,0.875025177001955,0.34769053459167465,3150.6,0.9998730561726437,1.15459370613098,3150.6,0.9998730561726437
FM-361.cnf,1,approx,0.48552908897399905,0.33774600028991675,3150.6,0.9998730561726437,1.11129674911499,3150.6,0.9998730561726437
FM-361.cnf,2,-,0.43573827743530275,0.3384313583374024,3149.8,0.9996191685179309,1.106979274749758,3149.8,0.9996191685179309
FM-361.cnf,3,exact,1.47631802558899,0.33660902976989737,3145.8,0.9983497302443668,1.1119969844818118,3145.8,0.9983497302443668
FM-361.cnf,3,approx,1.460799837112428,0.347970676422119,3145.8,0.9983497302443668,1.1573554039001461,3145.8,0.9983497302443668
FM-361.cnf,4,-,1.516923189163208,0.34692983627319335,3139.2,0.9962551570929865,1.1490550041198722,3139.2,0.9962551570929865
FM-361.cnf,5,-,0.42393550872802716,0.347554349899292,3151.0,1.0,1.175389575958252,3151.0,1.0
XSEngine.cnf,1,exact,1805.433623218536,15197.15761198996,2729254.0,0.9174502701839605,167.1490483283996,2728572.4,0.9153629283321882
XSEngine.cnf,1,approx,1760.7116859912858,15197.26989474296,2728117.2,0.9170681300580703,167.08646416664118,2731224.2,0.9162525361774303
XSEngine.cnf,2,-,1762.8829697608962,15196.1733619213,2717516.8,0.9135047607842477,167.0453317165376,2719219.2,0.912225180350395
XSEngine.cnf,3,exact,1747.5294742584222,15199.53488903048,2732935.4,0.9186877883572983,167.2512183189392,2729396.6,0.9156394253478186
XSEngine.cnf,3,approx,1823.4981490135222,15197.21508688926,2733246.4,0.9187923323220692,167.11048865318298,2726565.8,0.9146897677988663
XSEngine.cnf,4,-,1781.2554214000697,15196.8925479412,2714529.4,0.9125005336448362,167.1177277088166,2718646.0,0.9120328871092408
XSEngine.cnf,5,-,1511.891740703582,15198.477565431578,2900945.8,0.9751651945912787,167.58668675422678,2904237.2,0.9742937618086567
aaed2000.cnf,1,exact,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
aaed2000.cnf,1,approx,1089.3232835769638,-1.0,2839274.0,-1.0,133.241212463379,2841179.0,0.9236314471329891
aaed2000.cnf,2,-,1088.157360601428,-1.0,2824418.2,-1.0,132.27108492851238,2826851.4,0.9189737251373169
aaed2000.cnf,3,exact,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
aaed2000.cnf,3,approx,1083.67393975258,-1.0,2853189.2,-1.0,132.162797164917,2853087.4,0.927502717730526
aaed2000.cnf,4,-,1086.8383790493,-1.0,2801935.0,-1.0,132.42570080757142,2803072.0,0.9112433422103863
aaed2000.cnf,5,-,895.4618450641632,-1.0,3000447.0,-1.0,132.73463945388818,2999785.0,0.9751922566785952
adder.cnf,1,exact,1780.2471569061279,14599.237896394738,2796224.0,0.9197960032210013,142.4703799247742,2800754.2,0.9215335321554917
adder.cnf,1,approx,1728.6497591972359,14597.993634367002,2796416.4,0.9198592916953944,142.33410396575943,2798964.6,0.9209446991871632
adder.cnf,2,-,1750.783999204636,14598.2268523693,2792215.4,0.9184774056199112,142.6554211616514,2785013.4,0.916354328988376
adder.cnf,3,exact,1744.2784011363979,14599.43026328086,2803958.0,0.9223400419993366,142.4945787906648,2806707.0,0.923492184867756
adder.cnf,3,approx,1744.6979690074918,14599.26788740158,2801730.6,0.9216073561996391,142.4574295520782,2799001.0,0.9209566758970686
adder.cnf,4,-,1746.3855700016018,14599.0446492672,2789530.4,0.9175941958811176,142.6440640449524,2793230.8,0.9190581041526279
adder.cnf,5,-,1466.125046777724,14602.37117495538,2957390.4,0.9728104293090108,142.36428065299998,2956810.4,0.9728807804076819
adderII.cnf,1,exact,3762.064147901538,14876.94057765006,2827073.0,0.9239990377846036,158.64397788047782,2833692.2,0.9242743951444556
adderII.cnf,1,approx,3732.8304221153257,14881.75900592806,2828146.0,0.924349736534704,159.1158096790312,2829245.4,0.9228239682489979
adderII.cnf,2,-,3736.344420194626,14876.47403287888,2810553.6,0.9185998458625066,158.72032494545002,2809877.4,0.9165066461047093
adderII.cnf,3,exact,3676.4278729438784,14875.51974449158,2822237.2,0.9224185074810285,158.44547476768503,2824100.2,0.9211457420048428
adderII.cnf,3,approx,3723.3818853378298,14876.748436021799,2822545.4,0.9225192394053352,158.7806426525116,2822960.8,0.9207741002839013
adderII.cnf,4,-,3751.7033558368703,14875.78017983436,2810016.2,0.9184242023319342,158.6882712841032,2809362.6,0.9163387321518035
adderII.cnf,5,-,3104.8318206787103,14876.65993995668,2977630.0,0.9732070076996843,158.47862696647618,2973715.6,0.969946272753841
aeb.cnf,1,exact,877.5584112644194,13748.766174650202,2510073.0,0.9219512033868049,159.08309607505822,2509601.6,0.9199635182057057
aeb.cnf,1,approx,877.3267475605013,13748.7045452118,2502615.4,0.9192120227755727,159.09479804038978,2498608.6,0.9159337315831457
aeb.cnf,2,-,851.9226410388949,13747.839968872078,2490146.2,0.9146320787081013,159.1466701984406,2490638.4,0.9130120354729726
aeb.cnf,3,exact,874.4868638515472,13748.80011062622,2514371.0,0.9235298611677367,159.0881375312804,2517505.4,0.9228608735688815
