Benchmark,Strategy,Preprocessing,Sampling time,Approx Coverage time,Approx n combinations,Approx coverage
FM-361.cnf,3,approx,25.620018577575685,280.9774073123932,15124436.6,0.9894130236593984
FM-361.cnf,4,-,25.243717241287232,302.1696346282959,15211818.2,0.9951293683639804
FM-361.cnf,5,-,0.4239355087280273,285.2832293510437,15248747.0,0.9975451830243502
XSEngine.cnf,3,approx,2544.0701381206513,749.8912749290466,520680171425652.6,0.8492371346870227
XSEngine.cnf,4,-,2522.568958568573,728.0896610736847,447310852323842.2,0.7295706796396633
XSEngine.cnf,5,-,1511.8917407035829,722.2533392906189,490145011474161.8,0.7994338328378054
aaed2000.cnf,3,approx,1951.5697338104249,571.4719356060028,556750978771149.2,0.8362709585454209
aaed2000.cnf,4,-,1931.911257314682,567.2418471813202,471410596645994.2,0.7080849545980952
aaed2000.cnf,5,-,895.4618450641632,556.4823471546173,526085547748559.0,0.7902097743296833
adder.cnf,3,approx,2624.3725928783415,633.0684489250183,549889413623031.6,0.8480229050464935
adder.cnf,4,-,2550.3026017189027,629.7105886459351,491169229080773.4,0.7574664035995881
adder.cnf,5,-,1466.1250467777252,619.2267572879791,501274783019283.4,0.7730508847620389
adderII.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
adderII.cnf,4,-,4596.544806432724,748.5343945503234,477169406403003.4,0.7266354909529757
adderII.cnf,5,-,3104.8318206787108,731.8286568164825,507089556620048.2,0.7721980160239718
aeb.cnf,3,approx,1670.6268454551696,757.7025639533997,422213308705199.8,0.8641367477589805
aeb.cnf,4,-,1706.8879017353058,757.0078531742096,359144995919973.4,0.7350559121405923
aeb.cnf,5,-,739.1495797634125,746.0067108631134,391884310537803.4,0.8020629066488194
aim711.cnf,3,approx,4503.745742750168,725.8441620349884,530906715420494.0,0.8595582462138088
aim711.cnf,4,-,4541.201231956482,731.5565997600555,429342350718958.8,0.6951216612828258
aim711.cnf,5,-,3081.7190045833586,709.0776391983032,489836241278637.8,0.7930635802034478
aki3068net.cnf,3,approx,1407.847043609619,753.2333057880402,426275974499997.8,0.8749128130907529
aki3068net.cnf,4,-,1411.4077994823456,750.509284543991,366330078606584.8,0.751876480886317
aki3068net.cnf,5,-,522.1935316562652,747.3516185760498,378997641505569.4,0.777876100273627
am31_sim.cnf,3,approx,1319.9496359348298,773.0556782722473,344240172227083.8,0.8583539760875478
am31_sim.cnf,4,-,1380.6165487766266,786.9604758739472,277928482413607.6,0.6930074906839386
am31_sim.cnf,5,-,475.40126433372495,768.1489386558533,321396087877056.8,0.8013928419320895
asb.cnf,3,approx,2097.967887020111,747.441325378418,457624228343271.4,0.863723602762397
asb.cnf,4,-,2105.3320751667025,753.9288833141327,365839475075997.6,0.6904883305442471
asb.cnf,5,-,1073.5152315139771,750.1757244110107,439055931218477.8,0.8286776513103705
asb2305.cnf,3,approx,1643.8463134288788,737.3306856632232,469061796006106.4,0.8629263580716012
asb2305.cnf,4,-,1659.0088149547578,738.2423967838288,382082236306949.4,0.7029112911508925
asb2305.cnf,5,-,649.4644297599792,743.3195561408996,450571382259243.8,0.828909805178836
assabet.cnf,3,approx,1810.0410887241364,718.5536453247071,504259935601158.4,0.8492995180474289
assabet.cnf,4,-,1837.84376745224,721.9725907802582,422225294877443.2,0.7111327197139757
assabet.cnf,5,-,737.2730566501617,719.5865952014923,464132460703177.4,0.7817148406117993
at91sam7sek.cnf,3,approx,1980.3832239151002,683.7077259540558,574000829501297.4,0.8582831290500549
at91sam7sek.cnf,4,-,2002.2928633213044,666.4995458126068,506156904637381.0,0.7568385088918756
at91sam7sek.cnf,5,-,922.1352696895599,667.5084855079651,543157093752667.0,0.8121635824059718
at91sam7xek.cnf,3,approx,2214.5514697551725,792.5372972488403,625051258025827.4,0.8369242657504505
at91sam7xek.cnf,4,-,2324.5334535598754,801.4190482139587,533611996754491.0,0.7144899283778912
at91sam7xek.cnf,5,-,1155.0129265785217,790.586695432663,619950911603765.6,0.8300950599380519
atlas_mips32_4kc.cnf,3,approx,1594.0626628398895,732.2232439041138,443672624547346.0,0.8774512668605616
atlas_mips32_4kc.cnf,4,-,1559.8334627628326,732.5327187061309,377016542943978.0,0.745625546699198
atlas_mips32_4kc.cnf,5,-,577.3984076499939,738.973566532135,391734909463734.4,0.7747340574216127
atlas_mips64_5kc.cnf,3,approx,2214.3242874622347,736.0130107402802,423055389329012.6,0.864158641552432
atlas_mips64_5kc.cnf,4,-,2245.953048658371,739.7100090026855,359498845342666.2,0.7343341833411346
atlas_mips64_5kc.cnf,5,-,1218.5559060096741,743.8281954288483,382456169266530.4,0.7812282079916443
axtls.cnf,3,approx,42.738281059265134,305.5145456790924,1150494470.4,0.9726924003438746
axtls.cnf,4,-,44.08045382499695,308.7214588165283,1051105120.6,0.8886630827653494
axtls.cnf,5,-,0.8538970470428466,305.30003023147583,1151216156.8,0.9733025544078637
brutus.cnf,3,approx,1565.1266327381134,757.0012427806854,441664193711977.0,0.8772945545047346
brutus.cnf,4,-,1614.7699967384337,753.5325932979583,374355792776331.6,0.7435972920733341
brutus.cnf,5,-,668.472498178482,754.5102578163147,401779985945543.0,0.7980710204660069
buildroot.cnf,3,approx,178.91323919296264,426.3489055633545,13722330833740.4,0.996251674602781
buildroot.cnf,4,-,188.51913414001464,448.8678416728973,13729954977933.6,0.9968051932806148
buildroot.cnf,5,-,12.862403631210327,434.22750601768496,13720605817875.4,0.996126437136563
busybox_1_28_0.cnf,3,approx,323.1508135318756,506.46481051445005,245042503192082.6,0.9742726048628414
busybox_1_28_0.cnf,4,-,313.52589259147646,506.76675176620483,244622541461695.4,0.9726028651088108
busybox_1_28_0.cnf,5,-,19.34783821105957,489.91882557868956,247624640474611.8,0.9845390100113034
calm16_ceb.cnf,3,approx,2575.184812927246,827.2520270824432,354430902137978.2,0.8561833403428697
calm16_ceb.cnf,4,-,2527.8889332294466,829.1806821346283,303783823075676.0,0.7338373906285576
calm16_ceb.cnf,5,-,1456.5058804988862,823.253080034256,333314550321515.8,0.8051734861653245
calm32_ceb.cnf,3,approx,2510.5122739315034,764.4030741214752,348761354003839.4,0.8396998111175236
calm32_ceb.cnf,4,-,2448.773262834549,760.6922517299652,308155153286425.2,0.7419337637009352
calm32_ceb.cnf,5,-,1457.882846736908,746.8230291366577,333541697007983.6,0.8030560059539706
ceb_v850.cnf,3,approx,1570.8460722446441,751.9298087596893,389404952066004.8,0.8699090960962172
ceb_v850.cnf,4,-,1504.0120066165923,750.889815378189,330714428499563.4,0.7387977169670612
ceb_v850.cnf,5,-,637.6241711616516,738.7343919277191,350847819043965.2,0.7837745963747581
cerf.cnf,3,approx,3458.3574681282043,566.9845119476319,550177959451833.8,0.8645942793152204
cerf.cnf,4,-,3508.6679074287413,536.9322458267212,437505431609404.6,0.6875315283725818
cerf.cnf,5,-,2159.087370252609,525.7022099018097,487811669479612.4,0.7665868317144092
cerfpda.cnf,3,approx,3174.9519097805023,689.6599417209625,575644129024667.6,0.8526796180042787
cerfpda.cnf,4,-,3187.7651690006255,698.3661849021912,475699929652492.4,0.7046361004115578
cerfpda.cnf,5,-,2011.7275633335114,669.7787834167481,515948514626948.4,0.7642547889915663
cma230.cnf,3,approx,1645.9780371665954,730.2692867279053,414742494567065.8,0.856556574303341
cma230.cnf,4,-,1687.5712033748628,722.0532299041748,358299359207381.6,0.7399860774288932
cma230.cnf,5,-,691.9164029598236,729.269090127945,388835370826503.0,0.8030512849926001
cma28x.cnf,3,approx,1593.5915759086608,734.1436246871948,413132302765029.4,0.8687667988347826
cma28x.cnf,4,-,1564.1895035266875,735.9783799171448,351444355746732.0,0.739044576924053
cma28x.cnf,5,-,595.7846120357514,728.9171661853791,375305581275272.4,0.789221821307906
cme555.cnf,3,approx,2167.6510304927824,678.8326346874237,488449234287364.8,0.7950639654038515
cme555.cnf,4,-,2149.0479199409483,676.9132037639617,425069155943566.0,0.6918982464747452
cme555.cnf,5,-,1099.243026638031,665.1460858821869,479590868249702.2,0.7806449283074409
cq7708.cnf,3,approx,2928.1260653495788,737.5383329868316,461086598058716.8,0.8553917756102125
cq7708.cnf,4,-,2976.401834106445,734.3714566230774,399150419070884.2,0.740489936472031
cq7708.cnf,5,-,1749.537523508072,723.040626335144,423325588869228.4,0.785338868335478
cq7750.cnf,3,approx,1516.899259662628,738.5448356628418,512494928030866.8,0.8609769969606493
cq7750.cnf,4,-,1513.1164297103883,745.232608127594,419461162440118.8,0.704682899725332
cq7750.cnf,5,-,555.8286452293396,738.0968922615051,489070923338533.2,0.8216253309953172
csb281.cnf,3,approx,3708.448603105545,527.6467237472534,474180411971170.2,0.8493640027026759
csb281.cnf,4,-,3467.683188199997,531.7346848964692,411368948509708.0,0.7368545133303397
csb281.cnf,5,-,2265.2423117637636,521.2579384326934,428289101111675.6,0.7671623206069108
dreamcast.cnf,3,approx,2542.5198545455933,614.990846824646,495415003753379.0,0.8648317103503139
dreamcast.cnf,4,-,2424.921901035309,612.1005728721618,433653728518490.4,0.7570168301183163
dreamcast.cnf,5,-,1402.6274579524993,606.2713415622711,474376736348430.4,0.828105812578178
e7t.cnf,3,approx,3702.6699001312254,535.474931526184,524033334393676.0,0.8405741467080239
e7t.cnf,4,-,3818.2738613605497,550.7822048187256,416407588493136.0,0.6679373818563474
e7t.cnf,5,-,2378.872137928009,526.2776346206665,489851120519875.0,0.7857442659089214
ea2468.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
ea2468.cnf,4,-,3204.6035537719727,828.875075674057,617924981720056.2,0.6964058202819388
ea2468.cnf,5,-,1784.451093196869,808.5389817714691,711278650715046.8,0.8016160648197426
eb40.cnf,3,approx,3428.1561821460723,712.2392325401306,457619247831824.8,0.8378505915095265
eb40.cnf,4,-,3321.4600213050844,728.3536095142365,404068746480706.4,0.7398055039279939
eb40.cnf,5,-,2140.630380153656,721.0152535915374,436460290613105.0,0.7991108643118097
eb40a.cnf,3,approx,2005.219521856308,761.5703038692475,474150910825287.4,0.8639874605287394
eb40a.cnf,4,-,1907.6055785179137,725.8484979629517,408456051037969.0,0.7442797181590295
eb40a.cnf,5,-,936.734877204895,731.7027436256409,438230303995343.2,0.7985337132784459
eb42.cnf,3,approx,1873.0340803146362,784.5942330360413,444721909057914.6,0.8339633403103409
eb42.cnf,4,-,1807.7332529067994,780.4762489318848,389921784543244.0,0.7311995817483004
eb42.cnf,5,-,816.4388219356537,758.2484295368195,426090443780067.2,0.7990247445238079
eb55.cnf,3,approx,2107.1667368888857,745.4273252010346,510633171922026.4,0.8386784007450796
eb55.cnf,4,-,1953.7842497348786,745.7117242336274,444128542987947.0,0.7294493124219738
eb55.cnf,5,-,891.5959388732911,739.6177517890931,485107252122379.6,0.796753906269848
ebsa285.cnf,3,approx,2117.427483654022,608.7021247386932,501176075138076.8,0.8561953228334008
ebsa285.cnf,4,-,2107.684923505783,604.234980392456,426526530852579.2,0.7286661093702901
ebsa285.cnf,5,-,1028.0646118164063,604.8068714141846,453068740001696.4,0.7740100841896769
ec555.cnf,3,approx,2775.4945248126983,736.5487056732178,533258943436832.6,0.8601129394437222
ec555.cnf,4,-,2779.229825305939,740.7648013591767,429843779952658.8,0.6933108232444986
ec555.cnf,5,-,1596.3792953014374,741.9198507785798,484392464419456.2,0.7812944002983411
ecos-icse11.cnf,3,approx,2313.97939991951,597.614777803421,491709317891490.4,0.8514174572768987
ecos-icse11.cnf,4,-,2321.8122774124145,594.9277453422546,419232251259114.2,0.725920059652549
ecos-icse11.cnf,5,-,1241.5111849308014,591.8121411800385,465350480513475.8,0.8057759095563874
edb7xxx.cnf,3,approx,3478.5286739349367,631.5877027511597,488148947478899.4,0.8696745962940067
edb7xxx.cnf,4,-,3488.502232980728,633.258526468277,404090504097569.0,0.7199180656483659
edb7xxx.cnf,5,-,2309.628318452835,630.4758334159851,432159713550249.4,0.7699255040032482
edosk2674.cnf,3,approx,1742.371047258377,774.8260808467865,405677139137799.8,0.8818911471197561
edosk2674.cnf,4,-,1752.1643105506896,774.3542073726654,343040919382371.0,0.745727872529622
edosk2674.cnf,5,-,785.6350380420685,769.3346588611603,363534889593246.4,0.7902791897093853
embtoolkit.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
embtoolkit.cnf,4,-,1189.8792575359344,875.3925478458405,7756580083522324.0,0.882041571623027
embtoolkit.cnf,5,-,33.09793844223022,872.9105347633362,7974790161789445.0,0.9068553888345052
excalibur_arm9.cnf,3,approx,1505.367286682129,765.7725702762604,460139175760466.8,0.870729034969689
excalibur_arm9.cnf,4,-,1502.326208972931,765.3608646869659,387412745533378.0,0.7331075983602828
excalibur_arm9.cnf,5,-,581.5698591709137,767.8750873088836,417652542733007.4,0.7903308708403886
fads.cnf,3,approx,1482.8307775497437,791.2263259410859,379559212946075.6,0.8611340023288017
fads.cnf,4,-,1452.783568239212,780.6725874900818,331856102395321.6,0.752906434373706
fads.cnf,5,-,571.7683595180512,783.2976247310638,351838042714730.0,0.7982409372777154
financial.cnf,3,approx,767.5819678783416,949.9264775276184,13234163701824.0,0.7927241710615796
financial.cnf,4,-,810.0110364913941,988.486415195465,8857977533197.0,0.530591358509332
financial.cnf,5,-,6.6621325492858885,959.7302713871002,9999688165469.2,0.5989796325969067
flexanet.cnf,3,approx,3252.2109615325926,512.880382823944,525967609876675.8,0.8485405844558885
flexanet.cnf,4,-,3141.9400700569154,521.5398620128632,442581099154925.2,0.7140135960731591
flexanet.cnf,5,-,2004.1648229599,513.8795717716217,472813156071994.8,0.7627868033277443
frv400.cnf,3,approx,3763.5430138587953,752.8269818305969,469322381902593.2,0.8377747198505581
frv400.cnf,4,-,3830.4518567562104,749.2548560142517,405029398095927.4,0.7230070493238944
frv400.cnf,5,-,2599.9074837207795,755.6106085777283,450811146265638.4,0.8047308126178189
gps4020.cnf,3,approx,1647.8404505252838,646.1593668937683,418980268291416.2,0.8613966299145364
gps4020.cnf,4,-,1765.7875517845155,649.4259809017182,351518864498077.0,0.7227002991449265
gps4020.cnf,5,-,741.8623281478882,639.4529062271118,390314368862805.8,0.8024613744143911
grg.cnf,3,approx,4294.917130804062,616.9183151245118,478858241764715.4,0.8514546115059798
grg.cnf,4,-,4320.222203063965,611.6913556098938,414102209773350.6,0.736312347568571
grg.cnf,5,-,3021.8876699447633,594.7807322502136,446942494022192.8,0.7947054356018828
h8300h_sim.cnf,3,approx,1228.7383250713349,790.5033319950104,346587980325192.6,0.8111159390259056
h8300h_sim.cnf,4,-,1267.2081993579864,830.5159226417542,291155575127497.6,0.6813881067098331
h8300h_sim.cnf,5,-,316.0804064273834,774.8599901199341,342709305465349.2,0.8020387200231974
h8max.cnf,3,approx,1663.4009648323058,799.7488896846771,416964580137967.0,0.8737951070563469
h8max.cnf,4,-,1668.5850568771361,780.557687664032,354403451111575.2,0.7426913849677849
h8max.cnf,5,-,729.4899107933045,764.35794506073,375153168614256.2,0.7861746986359263
h8s_sim.cnf,3,approx,1418.7010349273683,766.4845183849335,373749849293344.2,0.8732781187430364
h8s_sim.cnf,4,-,1494.5041903972626,786.2420092105865,288010106604659.0,0.6729445498111588
h8s_sim.cnf,5,-,494.57327523231504,757.726148223877,343192523322597.0,0.8018799785484498
hs7729pci.cnf,3,approx,4674.451531362533,789.648455619812,588230925393432.6,0.8356000157193495
hs7729pci.cnf,4,-,4572.062109518051,794.2543574333191,501256806989321.8,0.7120506211392479
hs7729pci.cnf,5,-,3129.3557975769045,785.6061249732971,531230129361692.2,0.7546286420563941
innovator.cnf,3,approx,2374.1888037204744,743.7464546680451,489926528879975.4,0.819279397424664
innovator.cnf,4,-,2357.4245916366576,741.463995552063,411942941961491.6,0.6888713824807713
innovator.cnf,5,-,1285.1326132774352,739.2943008899689,463031852508178.0,0.7743047880639703
integrator_arm7.cnf,3,approx,2122.2239536762236,718.9051905155181,516337155119055.2,0.8606752016665059
integrator_arm7.cnf,4,-,2050.318538951874,706.6328257083893,437374921188458.8,0.7290541553434233
integrator_arm7.cnf,5,-,1063.3079692840577,703.4620525836945,469422977946404.2,0.7824746141264142
integrator_arm9.cnf,3,approx,1410.5116587638854,519.779451084137,537305639655158.4,0.8628146237017538
integrator_arm9.cnf,4,-,1406.1756485462188,517.2554591178894,449485745774278.6,0.7217919299124428
integrator_arm9.cnf,5,-,484.81945447921754,522.9682348251342,485804783352796.0,0.7801136641894737
ipaq.cnf,3,approx,2741.6609565258027,623.9392001628876,490029413345321.0,0.8576938275688539
ipaq.cnf,4,-,2726.994725227356,618.9826683521271,427018705048007.0,0.7474067833516461
ipaq.cnf,5,-,1621.9540755271912,625.3117176532745,454256814262107.0,0.7950813871842877
iq80310.cnf,3,approx,4246.751102733612,696.0762117385864,523003471762684.0,0.8636747827090483
iq80310.cnf,4,-,4179.376103591919,694.7711370944977,442174132589989.0,0.7301952443969774
iq80310.cnf,5,-,3012.1634903907775,700.1750534057617,476533339183847.6,0.7869351742276371
iq80321.cnf,3,approx,3108.662822008133,705.566923046112,506269282823907.2,0.8452487019710395
iq80321.cnf,4,-,3135.3614411830904,700.0923513412475,438290057853241.2,0.7317530710551136
iq80321.cnf,5,-,1836.4600162506104,700.8961707115174,476409140312833.8,0.7953952987438602
ixdp425.cnf,3,approx,3801.0629727840424,705.9276650428772,487526096182189.8,0.8453811276525084
ixdp425.cnf,4,-,4080.021195602417,704.3130079746246,433366790938846.2,0.751467684048078
ixdp425.cnf,5,-,2762.6069181919097,710.0794128894806,457596013084932.6,0.7934816958115573
jmr3904.cnf,3,approx,2372.52698636055,751.920320224762,414834492713269.4,0.8975076377885911
jmr3904.cnf,4,-,2421.6720974445343,756.1535142898559,337271954088264.4,0.7296986150458015
jmr3904.cnf,5,-,1401.0763513088227,752.274826002121,368841180403082.2,0.7979996416824884
jtst.cnf,3,approx,2236.1176045417787,781.374207162857,462250663880095.6,0.8442058829115776
jtst.cnf,4,-,2220.1270031452177,776.1850912094117,404402821431787.0,0.7385586816751684
jtst.cnf,5,-,1200.673055791855,776.4275946617126,438389706841260.4,0.8006287463532402
linux.cnf,3,approx,1934.610974264145,759.57331199646,454138266074869.8,0.8693214351327303
linux.cnf,4,-,1984.1182078838349,761.4207195281982,385904267456535.8,0.738706417560184
linux.cnf,5,-,910.9525004863739,741.7113728523254,410492589671587.0,0.7857739235429771
lpcmt.cnf,3,approx,2691.4034583091734,760.0049060344696,487403888034595.0,0.859716370988586
lpcmt.cnf,4,-,2601.224697494507,759.4980151176453,415693788930643.0,0.7332291851487686
lpcmt.cnf,5,-,1454.4180171966552,754.4095633506774,441071886854647.4,0.7779928129848054
m5272c3.cnf,3,approx,3576.359650373459,821.9023111820221,658455431731334.8,0.84944925746561
m5272c3.cnf,4,-,3654.7005935668944,825.4840212821961,574473212738158.2,0.7411068699231591
m5272c3.cnf,5,-,2308.8736214160917,815.6617519378663,637574226081940.2,0.8225111781680848
mac7100evb.cnf,3,approx,2709.737222623825,644.9586674213409,462886385501439.0,0.8669090659178995
mac7100evb.cnf,4,-,2655.456357336044,647.3476217746735,406724833584188.6,0.761727837784907
mac7100evb.cnf,5,-,1565.767200565338,639.1433714389801,429101827155632.0,0.8036362179029707
mace1.cnf,3,approx,2771.565566778183,618.0253539562225,465620995174281.6,0.8733793826145858
mace1.cnf,4,-,2679.8373848438264,617.6307096004487,404355693433859.4,0.7584622032684992
mace1.cnf,5,-,1571.584750699997,621.4914739131927,426343707747423.4,0.7997057867089608
malta_mips32_4kc.cnf,3,approx,2562.8341141700744,615.0031210899353,472451515327335.2,0.8735799746577946
malta_mips32_4kc.cnf,4,-,2627.903182220459,620.9007657051086,388343278079324.4,0.71806079569459
malta_mips32_4kc.cnf,5,-,1491.754665517807,620.9674166202545,415994938277800.4,0.7691897175664869
malta_mips64_5kc.cnf,3,approx,2196.916011762619,730.7934970378876,452069187962882.0,0.8356799416403075
malta_mips64_5kc.cnf,4,-,2158.4568529605867,718.6245383262634,390362537199886.6,0.7216110962478341
malta_mips64_5kc.cnf,5,-,1151.0750898838044,737.0191324234008,419006337312717.0,0.7745610646243832
mb93091.cnf,3,approx,1984.4888776779176,589.7605776786804,491391391167604.6,0.8369248441269004
mb93091.cnf,4,-,2027.3649014472962,591.4132668018341,420092022567574.4,0.7154896419143864
mb93091.cnf,5,-,993.9094475746155,590.059722852707,494872467259568.0,0.8428537210222359
mb93093.cnf,3,approx,2196.9558387756347,661.3546501636505,462063297328146.8,0.8539377613485979
mb93093.cnf,4,-,2193.664258527756,650.0246037483215,385244626228995.8,0.7119694111084861
mb93093.cnf,5,-,1174.9653944969177,651.011553144455,442990053153044.0,0.8186885573397031
mbx.cnf,3,approx,2614.819418668747,709.4731406688691,582946830149786.0,0.8239115049519089
mbx.cnf,4,-,2478.5717344760897,704.0304879665375,511863552470375.0,0.7234455151553618
mbx.cnf,5,-,1384.0590073108674,703.400619840622,539725367052373.8,0.7628241829783728
mcb2100.cnf,3,approx,2581.373205375671,525.5953644752502,489019394581336.6,0.8627750697108258
mcb2100.cnf,4,-,2612.083194732666,533.8806870937348,414930879303509.8,0.732060982208583
mcb2100.cnf,5,-,1468.5049077987671,528.9406538009644,440864130215115.6,0.7778149187824985
moab.cnf,3,approx,2435.7795645713804,773.0184268951416,549249045894649.8,0.8332595449458214
moab.cnf,4,-,2483.7205558776855,780.3381989955902,453295158036031.6,0.6876889817732994
moab.cnf,5,-,1330.1826006889344,761.3112205982209,518122831657109.6,0.7860383156959599
