Benchmark,Approximate time,Approximate combinations, Approximate coverage
axtls,50.0744,174065,0.0044
benchmark_1,17.8256,24064,1
benchmark_2,19.02819,20534,1
benchmark_3,0.47072,1900,1
benchmark_4,8.6813,7654,1
benchmark_5,28.8294,76576,0.9995
benchmark_6,13.5665,11534,1
benchmark_7,0.3911,1624,1
benchmark_8,18.4641,33935,0.9999
benchmark_9,7.5568,6953,1
benchmark_10,21.9486,52995,1
benchmark_11,17.7615,23834,0.9994
benchmark_12,22.5333,49734,0.9981
benchmark_13,22.7987,39172,0.9992
benchmark_14,17.1239,20743,1
benchmark_15,10.4174,8517,1
benchmark_16,12.2815,14772,0.9997
benchmark_17,22.0478,43663,0.9996
benchmark_18,21.3866,50373,0.9988
benchmark_19,28.3411,99180,0.9988
benchmark_20,22.9698,64758,0.9959
benchmark_21,11.9995,15615,1
benchmark_22,12.8452,13569,1
benchmark_23,0.3976,1551,1
benchmark_24,17.0509,34362,0.9963
benchmark_25,23.1267,47196,0.9982
benchmark_26,17.7294,21117,0.9998
benchmark_27,14.2469,9852,1
benchmark_28,28.1167,96931,0.9993
benchmark_29,22.0240,46146,1
benchmark_30,12.9865,12612,1
benchmark_apache,20.9948,67297,0.9997
benchmark_bugzilla,8.0514,5927,0.9998
benchmark_gcc,25.1067,83126,0.9983
benchmark_spins,0.2763,1025,1
benchmark_spinv,11.1631,8874,0.9997
DuneSystem,0.2447,579,0.9948
fiasco,64.0264,113146,0.1963
HiPAcc,3.0481,2630,0.905
HSMGP,0.2543,727,0.9986
Trimesh,0.4785,1603,0.8228
uClibc,75.2118,270257,0.0321
